isogroup66386_c0_g1	 Ragulator complex protein LAMTOR5
isogroup67688_c0_g1	NCF4 PB1 domain
isogroup67673_c0_g1	SAC3D1 cell division
isogroup46203_c0_g1	 Ribosomal RNA adenine dimethylase domain containing 1
isogroup15357_c0_g1	 Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
isogroup15331_c0_g5	DENND3 Rab guanyl-nucleotide exchange factor activity
isogroup15331_c0_g2	DENND3 Rab guanyl-nucleotide exchange factor activity
isogroup33919_c0_g2	TYSND1 Trypsin domain containing 1
isogroup33914_c0_g1	MTFP1 mitochondrial fission process
isogroup33914_c0_g2	GOSR1 Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor
isogroup33914_c0_g3	MTFP1 mitochondrial fission process
isogroup1631_c0_g1	KIFC1 microtubule motor activity
isogroup1623_c0_g1	PTGS1 Prostaglandin G H synthase
isogroup16112_c0_g3	DCUN1D2 DCN1-like protein
isogroup16167_c0_g1	 neurogenic locus notch homolog protein
isogroup717_c0_g1	SCUBE2 Signal peptide, CUB and EGF-like domain-containing protein 2
isogroup761_c0_g1	FNDC3A Fibronectin type-III domain-containing protein
isogroup766_c0_g1	YIPF6 intestinal epithelial cell development
isogroup741_c0_g1	SLC25A13 malate-aspartate shuttle
isogroup34248_c0_g1	CENPI centromere complex assembly
isogroup34238_c0_g1	SMIM14 Small integral membrane protein
isogroup86671_c0_g1	 tRNA synthetases class I (W and Y)
isogroup31760_c0_g2	 Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family
isogroup8638_c1_g1	GPATCH11 G patch domain-containing protein
isogroup8694_c0_g1	C5orf42 protein C5orf42 homolog
isogroup8649_c0_g1	NAT9 N-acetyltransferase 9
isogroup8675_c0_g1	PGAP2 Post-GPI attachment to proteins
isogroup8622_c0_g1	 Phosphoglycerate mutase family
isogroup21852_c0_g1	PGAP2 GPI anchor biosynthetic process
isogroup21885_c0_g1	 Cytochrome P450, family 46, subfamily A, polypeptide
isogroup21882_c0_g1	 F-box only protein
isogroup14837_c0_g1	 Epidermal differentiation-specific protein-like
isogroup14837_c0_g2	CRYGD Beta/gamma crystallins
isogroup83741_c0_g1	 Astacin (Peptidase family M12A)
isogroup600_c0_g2	ANKH ANKH inorganic pyrophosphate transport regulator
isogroup695_c0_g4	LGMN cysteine-type peptidase activity
isogroup695_c0_g3	LGMN cysteine-type peptidase activity
isogroup695_c1_g1	LGMN cysteine-type peptidase activity
isogroup620_c0_g1	AKAP10 anchor protein 10
isogroup624_c0_g1	LRRC43 Leucine rich repeat containing 43
isogroup674_c0_g1	LRRC49 Leucine-rich repeat
isogroup640_c0_g1	MGLL Monoglyceride lipase
isogroup5407_c1_g2	ZGLP1 GATA-type zinc finger protein 1
isogroup4915_c0_g2	DTWD1 DTW
isogroup4983_c0_g1	ACER3 Alkaline ceramidase
isogroup32587_c0_g1	 BTB/POZ domain
isogroup31237_c1_g3	SAMD15 ribosomal large subunit assembly
isogroup31257_c0_g2	MIF phenylpyruvate tautomerase activity
isogroup9942_c0_g2	 C-type lectin domain family 4 member
isogroup9991_c0_g2	 tyrosinase
isogroup9919_c0_g1	FAM178B Family with sequence similarity 178, member B
isogroup9941_c1_g1	Jtb Jumping translocation breakpoint protein (JTB)
isogroup9102_c0_g1	wupA Troponin
isogroup9169_c0_g1	 MAC/Perforin domain
isogroup8014_c0_g1	 Dermatopontin
isogroup21005_c0_g1	 Epidermal differentiation-specific protein-like
isogroup21084_c0_g1	CDAN1 negative regulation of DNA replication
isogroup77702_c0_g1	PAN2 Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
isogroup62989_c0_g1	ASNS L-asparagine metabolic process
isogroup34073_c0_g1	ATPAF1 ATP synthase mitochondrial F1 complex assembly factor 1
isogroup3836_c0_g1	C17orf75 Chromosome 17 open reading frame 75
isogroup3805_c0_g1	 EGF domain, unclasssified subfamily
isogroup3852_c0_g1	PIGB Phosphatidylinositol glycan anchor biosynthesis, class B
isogroup38957_c0_g1	LIN37 Lin-37 DREAM MuvB core complex component
isogroup10539_c0_g4	VPS18 regulation of SNARE complex assembly
isogroup10524_c0_g1	TMEM220 Transmembrane protein 220
isogroup33424_c0_g1	NAT8L aspartate N-acetyltransferase activity
isogroup51242_c0_g1	PRPF39 mRNA 5'-splice site recognition
isogroup15998_c0_g1	 Si dkey-14d8.7
isogroup435_c0_g1	RNF220 RING finger protein 220
isogroup435_c0_g3	 establishment of planar polarity involved in neural tube closure
isogroup46654_c0_g1	 Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family
isogroup46680_c0_g1	 Ornithine decarboxylase antizyme
isogroup27_c0_g1	HRASLS lipid catabolic process
isogroup23_c0_g2	 Domain of unknown function (DUF4071)
isogroup47_c0_g1	 Domain of unknown function (DUF3538)
isogroup6917_c0_g1	GREB1L Growth regulation by estrogen in breast
isogroup6938_c0_g1	 Belongs to the beta gamma-crystallin family
isogroup6902_c0_g1	LRRC61 Leucine rich repeat containing 61
isogroup6982_c0_g2	 Chitin-binding domain type 2
isogroup18590_c0_g1	FBXL5 SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
isogroup18529_c0_g1	HYAL1 Hyaluronoglucosaminidase 1
isogroup7844_c0_g1	 Ragulator complex protein LAMTOR5
isogroup7814_c0_g1	HMGXB3 high mobility group
isogroup7814_c0_g2	HMGXB3 high mobility group
isogroup80869_c0_g1	 Alpha-2-macroglobulin-like
isogroup99843_c0_g1	PLBD1 phospholipase
isogroup97359_c0_g1	TEX36 Domain of unknown function with conserved HDNR motif
isogroup31969_c0_g1	NLRP14 Fish-specific NACHT associated domain
isogroup31992_c0_g1	MIEN1 Migration and invasion enhancer 1
isogroup31953_c0_g1	C9orf78 chromosome 9 open reading frame 78
isogroup5962_c1_g1	PPIL6 peptidyl-prolyl cis-trans isomerase activity
isogroup5948_c0_g1	CENPT Centromere protein T
isogroup55640_c0_g1	 Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family
isogroup55692_c0_g1	FAM76B FAM76 protein
isogroup81026_c0_g1	SLC34A2 sodium-dependent phosphate transmembrane transporter activity
isogroup23700_c0_g1	GLT8D2 Glycosyltransferase 8
isogroup38033_c0_g1	LGALS9 Lectin, galactoside-binding, soluble, 9 (galectin 9)-like 1
isogroup38072_c0_g1	 establishment of planar polarity involved in neural tube closure
isogroup2181_c0_g1	NLRP12 NLRP3 inflammasome complex assembly
isogroup2117_c0_g1	ATP5O proton-transporting ATP synthase activity, rotational mechanism
isogroup55788_c0_g1	UOX oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor
isogroup10625_c0_g1	 dolichyl-diphosphooligosaccharide-protein glycotransferase activity
isogroup10698_c0_g1	PLK4 centriole replication
isogroup97185_c0_g1	MESDC2 Mesoderm development candidate 2
isogroup57062_c0_g1	DNAH2 Dynein heavy chain 2, axonemal
isogroup54460_c0_g1	CTHRC1 Collagen triple helix
isogroup7183_c0_g1	G6PC3 Glucose 6 phosphatase, catalytic, 3
isogroup79419_c0_g1	COG1 oligomeric golgi complex
isogroup47505_c0_g1	LRRCC1 cell division
isogroup26068_c0_g1	dhhc-8 protein-cysteine S-acyltransferase activity
isogroup33349_c0_g1	CCRN4L Endonuclease/Exonuclease/phosphatase family
isogroup44501_c0_g1	SNRNP35 Small nuclear ribonucleoprotein
isogroup4660_c0_g1	CARF Transcription factor
isogroup4660_c0_g2	CARF Transcription factor
isogroup4617_c0_g1	SLIT1 C-terminal cystine knot-like domain (CTCK)
isogroup53629_c0_g1	 tetraterpenoid metabolic process
isogroup74129_c0_g1	Jtb Jumping translocation breakpoint protein (JTB)
isogroup39108_c0_g1	ZNF706 Zinc finger protein
isogroup41992_c0_g1	CBP EF-hand domain pair
isogroup6848_c0_g1	RPL36 cytoplasmic translation
isogroup6839_c0_g1	TTLL11 Tubulin tyrosine ligase-like family, member 11
isogroup6867_c0_g1	DESI2 Lys63-specific deubiquitinase activity
isogroup53247_c0_g1	ZNF706 Zinc finger protein
isogroup1076_c0_g3	 positive regulation of hyaluranon cable assembly
isogroup1075_c0_g1	C14orf119 Chromosome 14 open reading frame 119
isogroup22232_c0_g1	FRMPD2 Protein tyrosine phosphatase, non-receptor type 20
isogroup22232_c0_g3	DEK Protein DEK isoform
isogroup58773_c0_g1	SLC35E3 Solute carrier family 35 member E3
isogroup58796_c0_g1	 Bladder cancer-associated
isogroup58791_c0_g2	URAD OHCU decarboxylase
isogroup90770_c0_g1	zer-1 regulation of ligase activity
isogroup82859_c0_g1	ITIH4 Inter-alpha-trypsin inhibitor heavy chain
isogroup39424_c0_g3	 Endonuclease/Exonuclease/phosphatase family
isogroup7220_c0_g1	TCAIM activation inhibitor, mitochondrial
isogroup7272_c0_g1	RAD52 DNA repair protein
isogroup47810_c0_g1	SURF4 Golgi organization
isogroup24227_c0_g1	RPP40 ribonuclease P
isogroup24257_c0_g1	 regulation of cellular response to hypoxia
isogroup91330_c0_g1	 ABC-2 type transporter
isogroup9705_c0_g1	 Von Willebrand factor A
isogroup9747_c1_g1	ZCCHC8 zinc finger CCHC
isogroup9718_c0_g2	CRYGD Belongs to the beta gamma-crystallin family
isogroup85632_c0_g1	NAT10 RNA cytidine acetyltransferase with specificity toward both 18S rRNA and tRNAs. Catalyzes the formation of N(4)- acetylcytidine (ac4C) in 18S rRNA. Required for early nucleolar cleavages of precursor rRNA at sites A0, A1 and A2 during 18S rRNA synthesis. Catalyzes the formation of ac4C in serine and leucine tRNAs. Requires the tRNA-binding adapter protein THUMBD1 for full tRNA acetyltransferase activity but not for 18S rRNA acetylation
isogroup85689_c0_g2	NECAB1 calcium ion binding
isogroup93663_c0_g1	YIPF6 intestinal epithelial cell development
isogroup3478_c0_g1	FAM83H keratin filament binding
isogroup3452_c0_g1	PGAP1 post-GPI attachment to proteins 1
isogroup3450_c0_g2	CCDC167 Coiled-coil domain-containing protein 167
isogroup86985_c0_g1	SC5D Lathosterol oxidase
isogroup16275_c4_g1	CSN4 motif in proteasome subunits, Int-6, Nip-1 and TRIP-15
isogroup16275_c1_g1	COPS4 protein deneddylation
isogroup40246_c0_g2	MEI1 Meiosis inhibitor
isogroup40289_c0_g1	PRPF39 factor 39
isogroup40223_c0_g1	 Lipase (class 3)
isogroup47735_c0_g1	 serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
isogroup99010_c0_g1	HAUS1 complex, subunit 1
isogroup92514_c0_g1	 Protein serine threonine phosphatase activity. It is involved in the biological process described with protein dephosphorylation
isogroup45035_c0_g1	ASNS L-asparagine biosynthetic process
isogroup63380_c0_g1	AK8 cytidylate kinase activity
isogroup57277_c0_g1	 mRNA-binding protein involved in proper cytoplasmic distribution of mitochondria
isogroup23078_c0_g1	RS1 Retinoschisin
isogroup19999_c0_g2	MSH3 heteroduplex DNA loop binding
isogroup8109_c0_g1	SGCG heart contraction
isogroup12851_c0_g1	 Translation machinery associated TMA7
isogroup9467_c0_g2	GTPBP4 Involved in the biogenesis of the 60S ribosomal subunit
isogroup9423_c0_g1	DNAJC25 DnaJ molecular chaperone homology domain
isogroup9423_c0_g2	DNAJC25 DnaJ molecular chaperone homology domain
isogroup63276_c0_g1	GINS4 double-strand break repair via break-induced replication
isogroup25048_c0_g4	SPOPL Speckle-type POZ protein-like
isogroup25048_c0_g3	SPOPL MATH domain
isogroup20199_c0_g1	PPOX oxygen-dependent protoporphyrinogen oxidase activity
isogroup20132_c0_g1	FAM76B FAM76 protein
isogroup4512_c0_g2	 DUF4210
isogroup4560_c0_g1	DSCC1 Sister chromatid cohesion protein Dcc1
isogroup22335_c0_g1	NLRP13 NLR family, pyrin domain containing 13
isogroup38580_c0_g1	NBAS regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
isogroup5203_c0_g2	SCFD2 vesicle docking involved in exocytosis
isogroup5216_c0_g1	PRPF39 mRNA 5'-splice site recognition
isogroup13951_c0_g3	GBP5 Guanylate-binding protein, C-terminal domain
isogroup13926_c0_g1	FUK L-fucose kinase
isogroup13985_c0_g1	 Epidermal differentiation-specific protein-like
isogroup79611_c1_g1	MANEA glycoprotein endo-alpha-1,2-mannosidase activity
isogroup84354_c0_g1	 It is involved in the biological process described with protein complex assembly
isogroup5887_c1_g1	crebzf bZIP transcription factor
isogroup14388_c0_g2	THUMPD3 THUMP domain containing 3
isogroup57967_c0_g1	FUK L-fucose kinase
isogroup71690_c0_g1	EAPP E2F-associated phosphoprotein
isogroup6758_c0_g1	C2orf69 Chromosome 2 open reading frame 69
isogroup6720_c0_g1	BBS12 Bardet-Biedl syndrome 12
isogroup6764_c0_g1	Naca nascent polypeptide-associated complex
isogroup6700_c0_g2	ZNF474 zinc finger protein 474
isogroup17035_c0_g2	BIVM basic, immunoglobulin-like variable
isogroup1282_c0_g1	TERF2 negative regulation of telomere maintenance via recombination
isogroup1275_c0_g1	 Electron transfer DM13
isogroup1275_c0_g2	 Electron transfer DM13
isogroup1279_c0_g1	CBP EF hand
isogroup27445_c0_g1	 Electron transfer DM13
isogroup45698_c0_g1	PRPF39 factor 39
isogroup12046_c0_g1	C19orf40 DNA repair
isogroup34916_c0_g1	 dolichyl-diphosphooligosaccharide-protein glycotransferase activity
isogroup38753_c0_g1	 retina layer formation
isogroup38705_c0_g1	TG Thyroglobulin
isogroup46042_c0_g1	ANKH ANKH inorganic pyrophosphate transport regulator
isogroup1829_c0_g1	PACS1 ion channel binding
isogroup1833_c0_g1	LARGE xylosyltransferase activity
isogroup48589_c0_g1	TAB2 K63-linked polyubiquitin modification-dependent protein binding
isogroup48566_c0_g1	hhipl1 Si ch211-136a13.1
isogroup87953_c0_g1	DNAJC25 DnaJ molecular chaperone homology domain
isogroup8519_c1_g1	LARGE Like-glycosyltransferase
isogroup11381_c0_g1	CLN8 glutamate reuptake
isogroup41462_c0_g1	RABEPK Kelch motif
isogroup51389_c0_g1	TMEM30B Transmembrane protein 30B
isogroup5393_c0_g1	CCDC171 Coiled-coil domain containing 171
isogroup48737_c0_g1	ITIH3 inter-alpha-trypsin inhibitor heavy chain
isogroup10737_c0_g1	UQCR11 Cytochrome b-c1 complex subunit
isogroup10748_c0_g2	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup25319_c0_g1	COL4A6 C-terminal tandem repeated domain in type 4 procollagens
isogroup81227_c0_g1	PAN3 positive regulation of cytoplasmic mRNA processing body assembly
isogroup59622_c0_g1	ANTXR1 Anthrax toxin receptor
isogroup14100_c0_g3	MFGE8 Milk fat globule-EGF factor 8 protein
isogroup14113_c0_g2	C19orf66 UPF0515 protein C19orf66 homolog
isogroup32029_c0_g2	 SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
isogroup32095_c0_g1	KIF5A Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
isogroup307_c0_g1	CUBN cubilin (intrinsic factor-cobalamin receptor)
isogroup379_c0_g1	NLRP12 NLRP3 inflammasome complex assembly
isogroup389_c0_g1	NID2 Nidogen-2
isogroup54355_c0_g1	 Rtf2 RING-finger
isogroup28604_c0_g1	APOPT1 intrinsic apoptotic signaling pathway
isogroup28614_c0_g1	PFDN4 unfolded protein binding
isogroup63804_c0_g1	EDEM3 mannose trimming involved in glycoprotein ERAD pathway
isogroup23565_c0_g1	BAG6 Domain of unknown function (DUF3538)
isogroup42453_c0_g1	Surf4 Surfeit locus protein
isogroup17309_c0_g1	ASNS L-asparagine metabolic process
isogroup24152_c0_g2	 Biotin-protein ligase, N terminal
isogroup97826_c0_g1	GPCPD1 glycerophosphocholine phosphodiesterase activity
isogroup41080_c0_g1	SYS1 Protein SYS1 homolog
isogroup56149_c0_g1	KIAA0319L negative regulation of dendrite development
isogroup28704_c0_g1	CPSF1 mRNA cleavage
isogroup2949_c0_g1	DGCR14 DiGeorge syndrome critical region gene 14
isogroup2977_c1_g1	mup-4 Sushi, nidogen and EGF-like
isogroup41542_c0_g1	SDAD1 ribosomal large subunit export from nucleus
isogroup25446_c0_g1	MRPS34 ribosomal protein S34
isogroup20077_c0_g1	GYLTL1B Glycosyltransferase-like protein LARGE2
isogroup6037_c0_g1	FAM173B positive regulation of sensory perception of pain
isogroup11178_c0_g2	C5orf34 Domain of unknown function (DUF4524)
isogroup11121_c0_g1	DCT melanin biosynthetic process from tyrosine
isogroup2387_c0_g1	LHPP Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
isogroup2387_c0_g3	LHPP protein histidine phosphatase activity
isogroup2369_c0_g1	TRAPPC13 trafficking protein particle complex
isogroup9866_c0_g1	CCNT2 positive regulation of phosphorylation of RNA polymerase II C-terminal domain
isogroup9843_c0_g2	AKR7A2 Aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)
isogroup26192_c0_g1	TSEN15 tRNA-splicing endonuclease subunit Sen15
isogroup22745_c1_g1	 metalloendopeptidase activity
isogroup52003_c0_g1	MAP3K5 endothelial cell apoptotic process
isogroup38152_c0_g2	Vg Lipoprotein amino terminal region
isogroup49449_c0_g1	C5orf42 Joubert syndrome-associated
isogroup49449_c0_g3	C5orf42 protein localization to ciliary transition zone
isogroup49425_c0_g1	 Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
isogroup63733_c0_g1	CYP2C76 aromatase activity
isogroup34641_c2_g1	NIT2 omega-amidase activity
isogroup66709_c0_g1	FBXO6 F-box only protein 6-like
isogroup38394_c1_g1	 Binds to actin and affects the structure of the cytoskeleton. At high concentrations, profilin prevents the polymerization of actin, whereas it enhances it at low concentrations
isogroup11814_c0_g1	LGMN cysteine-type peptidase activity
isogroup1476_c0_g1	NVL preribosome binding
isogroup81656_c0_g1	KIAA0319L negative regulation of dendrite development
isogroup15847_c0_g1	GYLTL1B xylosyltransferase activity
isogroup11027_c0_g1	SELENOV antioxidant activity
isogroup112588_c0_g1	ATP5O proton-transporting ATP synthase activity, rotational mechanism
isogroup152041_c0_g1	SDAD1 ribosomal large subunit export from nucleus
isogroup125870_c0_g1	PLAA phospholipase A2 activator activity
isogroup125816_c0_g1	CAPRIN1 cell cycle associated protein
isogroup127606_c0_g1	PCSK5 Proprotein convertase subtilisin kexin type 5
isogroup154998_c0_g1	THUMPD3 tRNA (guanine) methyltransferase activity
isogroup125275_c0_g1	Vg Lipoprotein amino terminal region
isogroup103477_c0_g1	TBCE Tubulin-specific chaperone E
isogroup109387_c0_g1	 Possible catecholamine-binding domain present in a variety of eukaryotic proteins.
isogroup153827_c0_g1	TPP2 tripeptidyl-peptidase activity
isogroup140373_c0_g1	ABHD14A Abhydrolase domain containing 14A
isogroup106708_c0_g1	GPATCH11 DUF4187
isogroup102511_c0_g1	ARHGEF3 Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
isogroup112803_c0_g1	DESI2 Desumoylating isopeptidase 2
isogroup112675_c0_g1	SURF4 Golgi organization
isogroup139207_c0_g1	ITIH3 Inter-alpha-trypsin inhibitor heavy chain
isogroup113825_c0_g1	LHPP Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
isogroup103644_c0_g1	HSPBP1 HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1
