k141_145339_5	chemotaxis, protein
k141_7494_4	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
k141_444160_1	Involved in the TonB-independent uptake of proteins
k141_444160_2	Belongs to the ompA family
k141_444160_3	Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division
k141_298359_6	Protein of unknown function (DUF3293)
k141_298681_2	Pfam:DUF3596
k141_226820_2	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits
k141_226820_3	Oxidoreductase family, NAD-binding Rossmann fold
k141_226820_4	Universal stress protein
k141_226820_6	PFAM ApaG domain protein
k141_226820_7	Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP
k141_226820_8	Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis
k141_226820_12	-
k141_226820_15	Multicopper oxidase
k141_226820_16	Parallel beta-helix repeats
k141_226820_17	Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis
k141_226820_18	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins
k141_226820_19	S-adenosylmethionine-dependent methyltransferase
k141_226820_21	Domain of unknown function (DUF4139)
k141_226820_22	outer membrane lipoprotein
k141_226820_24	of a CheY-like receiver domain and a winged-helix DNA-binding domain
k141_226820_25	signal transduction histidine kinase
k141_226820_28	Functions as both a chaperone and a metalloprotease. Maintains the integrity of the outer membrane by promoting either the assembly or the elimination of outer membrane proteins, depending on their folding state
k141_226820_29	Putative metallopeptidase domain
k141_226820_31	-
k141_226820_32	-
k141_226820_33	-
k141_226820_34	2OG-Fe(II) oxygenase superfamily
k141_226820_35	-
k141_226820_36	-
k141_226820_37	-
k141_226820_38	PKHD-type hydroxylase
k141_226820_39	AraC family transcriptional regulator
k141_372852_1	Cys/Met metabolism PLP-dependent enzyme
k141_372852_2	Circularly permuted ATP-grasp type 2
k141_372852_3	A predicted alpha-helical domain with a conserved ER motif.
k141_372852_5	protein conserved in bacteria
k141_372852_6	Putative DNA-binding domain
k141_372852_7	DoxX
k141_372852_8	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner
k141_226857_1	Proton pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for proton movement across the membrane. Generates a proton motive force
k141_298860_1	HflC and HflK could regulate a protease
k141_298860_2	HflC and HflK could encode or regulate a protease
k141_298860_3	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis
k141_8298_1	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP
k141_8298_4	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase
k141_82108_1	COG2133 Glucose sorbosone dehydrogenases
k141_82108_2	COG0477 Permeases of the major facilitator superfamily
k141_82108_3	-
k141_299067_3	Belongs to the short-chain dehydrogenases reductases (SDR) family
k141_445026_1	ISXO2-like transposase domain
k141_445026_11	Alpha amylase, catalytic domain
k141_445026_12	Belongs to the glycosyl hydrolase 57 family
k141_445026_16	DSBA-like thioredoxin domain
k141_82270_2	23S rRNA-intervening sequence protein
k141_82270_3	PFAM Sulphatase-modifying factor
k141_155751_4	Ribosomal-protein-alanine acetyltransferase
k141_155751_6	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)
k141_155751_7	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
k141_155751_8	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate
k141_155751_9	TIGRFAM Acetolactate synthase, small subunit
k141_155751_10	Thiamine pyrophosphate enzyme, N-terminal TPP binding
k141_155751_11	Domain of unknown function (DUF4124)
k141_155751_14	ABC transporter, ATP-binding protein
k141_155751_15	CcmB protein
k141_155751_16	Gliding motility protein GldG
k141_155751_22	Belongs to the HesB IscA family
k141_155751_23	Domain of unknown function (DUF5063)
k141_155751_24	PFAM Rubredoxin-type Fe(Cys)4 protein
k141_155751_25	Phosphomethylpyrimidine kinase
k141_155751_26	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP)
k141_155751_27	HDOD domain
k141_155751_28	Sigma-54 interaction domain
k141_155751_29	-
k141_155775_1	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
k141_82535_2	PFAM Polyphosphate kinase 2
k141_445524_2	Belongs to the NAD(P)-dependent epimerase dehydratase family. dTDP-glucose dehydratase subfamily
k141_445524_5	Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis
k141_445524_6	pfam chad
k141_445524_7	COG0526 Thiol-disulfide isomerase and thioredoxins
k141_445524_8	Domain of unknown function (DUF4743)
k141_445524_9	PFAM Cobyrinic acid a,c-diamide synthase
k141_445524_10	Cation transport ATPase (P-type)
k141_445524_12	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_445525_1	PFAM Transposase IS200 like
k141_445525_2	General secretion pathway protein F
k141_445525_3	PFAM Type II secretion system protein E
k141_445525_4	general secretion pathway protein D
k141_445525_5	General secretion pathway protein C
k141_445525_6	protein conserved in bacteria
k141_445525_7	protein conserved in bacteria
k141_445525_8	ABC transporter transmembrane region
k141_445525_9	Peptidase S24-like
k141_299557_3	Von willebrand factor, type a
k141_299557_5	-
k141_299557_6	associated with various cellular activities
k141_299557_11	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine
k141_299557_12	PFAM PhoH-like protein
k141_299557_13	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA
k141_299557_14	PFAM CBS domain
k141_299557_15	Transfers the fatty acyl group on membrane lipoproteins
k141_299557_16	Type II transport protein GspH
k141_299557_17	Pfam:N_methyl_2
k141_299557_18	Type IV Pilus-assembly protein W
k141_299557_21	TIGRFAM prepilin-type N-terminal cleavage methylation domain
k141_299557_22	Zinc-ribbon containing domain
k141_299557_23	Belongs to the class-I aminoacyl-tRNA synthetase family
k141_299557_24	Together with LptD, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane. Required for the proper assembly of LptD. Binds LPS and may serve as the LPS recognition site at the outer membrane
k141_299557_25	DNA polymerase III, delta subunit
k141_299557_26	Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate
k141_299557_27	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)
k141_299557_28	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation
k141_299557_29	protein conserved in cyanobacteria
k141_299557_30	Belongs to the ribulose-phosphate 3-epimerase family
k141_299557_31	HAD-hyrolase-like
k141_299557_32	Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia
k141_299557_33	TIGRFAM glutamine amidotransferase of anthranilate synthase
k141_299557_34	Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA)
k141_299557_35	Belongs to the TrpC family
k141_299557_36	COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
k141_299557_37	OsmC-like protein
k141_299557_38	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
k141_299557_39	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine
k141_299557_40	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction
k141_299557_41	PFAM protein-L-isoaspartate(D-aspartate) O-methyltransferase
k141_299557_42	Rhodanese Homology Domain
k141_299557_43	type I secretion outer membrane protein, TolC
k141_299557_44	PFAM Three-deoxy-D-manno-octulosonic-acid transferase
k141_299557_45	Catalyzes the interconversion between ADP-D-glycero- beta-D-manno-heptose and ADP-L-glycero-beta-D-manno-heptose via an epimerization at carbon 6 of the heptose
k141_299557_46	Catalyzes the ADP transfer from ATP to D-glycero-beta-D- manno-heptose 1-phosphate, yielding ADP-D-glycero-beta-D-manno- heptose
k141_299557_48	Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)
k141_299557_49	Involved in sulfur transfer in the conversion of molybdopterin precursor Z to molybdopterin
k141_299557_50	MoaE protein
k141_299557_52	-
k141_299557_53	Catalyzes the phosphorylation of D-fructose 6-phosphate, the first committing step of glycolysis. Uses inorganic phosphate (PPi) as phosphoryl donor instead of ATP like common ATP-dependent phosphofructokinases (ATP-PFKs), which renders the reaction reversible, and can thus function both in glycolysis and gluconeogenesis. Consistently, PPi-PFK can replace the enzymes of both the forward (ATP-PFK) and reverse (fructose-bisphosphatase (FBPase)) reactions
k141_299557_54	-
k141_373859_2	-
k141_373859_3	Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA
k141_228051_1	COG0155 Sulfite reductase, beta subunit (hemoprotein)
k141_299963_1	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
k141_299963_2	GTPase that plays an essential role in the late steps of ribosome biogenesis
k141_156672_1	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria
