isogroup122754_c0_g1	NLRP2 PAAD/DAPIN/Pyrin domain
isogroup70057_c2_g2	nrv2 Sodium / potassium ATPase beta chain
isogroup70057_c2_g3	 It is involved in the biological process described with
isogroup70015_c1_g1	 Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
isogroup44124_c0_g1	STAU1 dendritic transport of ribonucleoprotein complex
isogroup53543_c0_g3	 Mitochondrial 28S ribosomal protein S27
isogroup3154_c0_g1	PAN2 Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
isogroup35111_c0_g1	 motor activity
isogroup51481_c0_g2	Tps1 Trehalose-phosphatase
isogroup51442_c0_g1	SPSB4 protein modification by small protein conjugation
isogroup47660_c0_g2	SEC62 SEC62 homolog, preprotein translocation factor
isogroup47609_c0_g2	tomm20 Mitochondrial import receptor subunit TOM20 homolog
isogroup31218_c0_g1	 Mitochondrial 28S ribosomal protein S32
isogroup29042_c0_g1	 attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation
isogroup59088_c0_g2	 C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
isogroup59049_c0_g4	 Repeat of unknown function (DUF1136)
isogroup95665_c0_g1	THSD7A Thrombospondin type 1 repeats
isogroup5027_c0_g1	COX7C oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
isogroup77869_c0_g3	GBP5 Guanylate-binding protein, C-terminal domain
isogroup77869_c0_g1	GBP5 Guanylate-binding protein, C-terminal domain
isogroup77880_c0_g1	FUT8 glycoprotein 6-alpha-L-fucosyltransferase activity
isogroup77895_c6_g1	 NADH-ubiquinone oxidoreductase sgdh subunit
isogroup77878_c1_g1	PKD1 metanephric distal tubule morphogenesis
isogroup77899_c2_g1	 Phospholipase D Active site motif
isogroup54579_c0_g2	CCND3 Belongs to the cyclin family
isogroup74677_c0_g1	DEK Protein DEK isoform
isogroup74681_c2_g2	 SWIB/MDM2 domain
isogroup75992_c2_g1	NOTCH2 neurogenic locus notch homolog protein
isogroup75990_c0_g1	 high mobility group
isogroup75901_c0_g2	 cobalamin catabolic process
isogroup75901_c0_g3	 Regulatory CLIP domain of proteinases
isogroup75901_c0_g1	CLIPB9 Belongs to the peptidase S1 family
isogroup75943_c0_g1	FPGT fucose-1-phosphate guanylyltransferase activity
isogroup75972_c0_g1	KIF14 Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
isogroup75944_c2_g1	ZNF706 zinc finger protein
isogroup62650_c0_g2	 Mannose receptor
isogroup51518_c0_g4	TXNDC12 protein-disulfide reductase (glutathione) activity
isogroup36864_c0_g1	VAT1 Synaptic vesicle membrane protein VAT-1 homolog
isogroup77722_c1_g5	 Electron transfer DM13
isogroup77721_c1_g1	LRP2 lipoprotein receptor-related protein 2
isogroup77790_c5_g3	 AIR synthase related protein, N-terminal domain
isogroup77787_c0_g1	PRPF39 mRNA 5'-splice site recognition
isogroup77727_c2_g1	 DTW
isogroup77769_c1_g1	RAG1 V(D)J recombination-activating protein 1
isogroup77708_c1_g1	ABCF3 ATP-binding cassette, subfamily F
isogroup35761_c0_g1	Mmp1 Belongs to the peptidase M10A family
isogroup60144_c0_g6	APOB triglyceride mobilization
isogroup60145_c0_g1	 Oligosaccharyltransferase subunit 5
isogroup29565_c0_g1	 Mab-21 protein
isogroup70759_c1_g1	ACER3 Alkaline ceramidase
isogroup70799_c7_g6	GLIPR1L2 GLIPR1-like protein 2
isogroup70738_c15_g2	EIF3A formation of cytoplasmic translation initiation complex
isogroup66834_c0_g1	 Polysaccharide deacetylase
isogroup66830_c5_g2	 L1 transposable element dsRBD-like domain
isogroup45366_c0_g3	YAP1 cardiac muscle tissue regeneration
isogroup72037_c2_g1	 NEUZ
isogroup72037_c2_g2	NEURL4 NEUZ
isogroup72043_c8_g1	TBCE CAP_GLY
isogroup72042_c4_g1	FAM166B Protein of unknown function (DUF2475)
isogroup72081_c0_g1	TYR monophenol monooxygenase activity
isogroup72094_c1_g2	PTGS1 Prostaglandin G H synthase
isogroup72038_c4_g1	GPATCH4 G patch domain-containing protein 4
isogroup72011_c1_g1	PACS1 ion channel binding
isogroup68004_c1_g3	C19orf10 positive regulation of phosphatidylinositol 3-kinase signaling
isogroup35272_c0_g1	ATP6 Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Key component of the proton channel
isogroup58085_c1_g2	ABCC1 ATPase activity, coupled to transmembrane movement of substances
isogroup58056_c0_g1	CLEC19A C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
isogroup58000_c0_g2	PURA purine-rich negative regulatory element binding
isogroup58098_c0_g4	PIGX biosynthesis, class X
isogroup37574_c0_g2	 Flavin reductase (NADPH)-like
isogroup67960_c0_g2	 Haloacid dehalogenase-like hydrolase
isogroup67954_c8_g1	C9orf78 protein C9orf78 homolog
isogroup52906_c0_g1	TSEN15 tRNA-splicing endonuclease subunit Sen15
isogroup52931_c0_g2	 PPR repeat
isogroup52931_c0_g4	 Pentacotripeptide-repeat region of PRORP
isogroup52926_c0_g1	 Insect cuticle protein
isogroup52953_c0_g3	KIAA0020 Pumilio RNA binding family member 3
isogroup52971_c0_g1	ATP5O proton-transporting ATP synthase activity, rotational mechanism
isogroup65268_c0_g1	 Importin beta-3
isogroup65243_c0_g3	SERPINA12 Belongs to the serpin family
isogroup65209_c0_g3	 Trypsin-like serine protease
isogroup65287_c0_g1	 Belongs to the peptidase S1 family
isogroup65287_c1_g6	 Belongs to the peptidase S1 family
isogroup65284_c0_g1	 Collagen triple helix
isogroup65855_c0_g3	 Calcium ion binding. It is involved in the biological process described with cell cycle arrest
isogroup65855_c0_g12	 Calcium ion binding. It is involved in the biological process described with cell cycle arrest
isogroup45828_c0_g1	ATP5O proton-transporting ATP synthase activity, rotational mechanism
isogroup22732_c0_g1	FJX1 Four jointed box 1 (Drosophila)
isogroup172_c0_g2	SDAD1 ribosomal large subunit export from nucleus
isogroup41357_c0_g1	FUK L-fucose kinase
isogroup41312_c0_g1	 Spectrin repeats
isogroup93823_c0_g1	TMEM30A LEM3 (ligand-effect modulator 3) family / CDC50 family
isogroup58699_c0_g2	CadN beta-catenin binding
isogroup58699_c0_g3	CadN beta-catenin binding
isogroup76464_c0_g2	ATF7IP regulation of nucleic acid-templated transcription
isogroup76414_c2_g1	SCFD2 vesicle docking involved in exocytosis
isogroup76423_c1_g1	RBM17 RNA binding motif protein 17
isogroup76417_c1_g1	AGXT2 Alanine--glyoxylate aminotransferase 2
isogroup76412_c1_g5	Naca nascent polypeptide-associated complex
isogroup76467_c6_g1	NDC80 NDC80 homolog, kinetochore complex component (S. cerevisiae)
isogroup32418_c0_g1	CLEC19A C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
isogroup45439_c0_g1	 VWC_def
isogroup50063_c1_g1	kon Cadherin-like
isogroup50045_c0_g1	 Nucleoplasmin/nucleophosmin domain
isogroup58221_c0_g1	shk-1 Belongs to the potassium channel family
isogroup58204_c0_g3	Cht3 Glyco_18
isogroup95212_c0_g1	UOX Uricase
isogroup38266_c0_g1	Jra sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
isogroup38271_c0_g1	MTMR3 Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
isogroup49899_c0_g1	CCND3 Belongs to the cyclin family
isogroup82978_c0_g1	PRPF39 mRNA 5'-splice site recognition
isogroup89911_c0_g1	NPLOC4 Nuclear protein localization 4 homolog (S. cerevisiae)
isogroup37019_c0_g1	 ER to Golgi vesicle-mediated transport
isogroup26758_c0_g1	 Ribonuclease H2 subunit
isogroup78000_c0_g1	 It is involved in the biological process described with regulation of signaling
isogroup78016_c0_g1	NAV1 Neuron navigator
isogroup78067_c2_g1	CLN3 lysosomal lumen pH elevation
isogroup78055_c1_g1	 Electron transfer DM13
isogroup78055_c1_g2	 Electron transfer DM13
isogroup78020_c3_g1	CCHCR1 Coiled-coil alpha-helical rod protein 1
isogroup52070_c0_g1	CREB1 chemotaxis to arachidonic acid
isogroup52009_c0_g1	 Galactose binding lectin domain
isogroup10500_c0_g1	CDC27 Cell division cycle
isogroup75015_c4_g1	SPEF2 Sperm flagellar
isogroup75041_c0_g1	SLC25A38 Mitochondrial carrier required during erythropoiesis. Probably involved in the biosynthesis of heme, possibly by facilitating 5-aminolevulinate (ALA) production. May act by importing glycine into mitochondria or by exchanging glycine for ALA across the mitochondrial inner membrane
isogroup75066_c0_g2	 myo-inositol transport
isogroup72234_c4_g1	SYS1 Protein SYS1 homolog
isogroup72283_c1_g1	FSIP1 FSIP1 family
isogroup72285_c3_g2	 dnaJ homolog subfamily C member 25
isogroup72249_c0_g1	alkb-8 Alkylated DNA repair protein alkB homolog
isogroup72238_c0_g1	NNMT amine N-methyltransferase activity
isogroup46232_c0_g1	CORO2B Belongs to the WD repeat coronin family
isogroup77191_c5_g2	 protein kinase activity
isogroup77148_c1_g1	GPD2 sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
isogroup77113_c0_g4	 ER to Golgi vesicle-mediated transport
isogroup77160_c2_g2	MAN2C1 Mannosidase alpha class 2C member 1
isogroup58835_c0_g7	AOC1 amine oxidase
isogroup58868_c0_g2	SMIM14 Small integral membrane protein
isogroup22831_c0_g1	 angiogenesis
isogroup28435_c0_g1	SERP2 endoplasmic reticulum unfolded protein response
isogroup55041_c0_g2	 binding. It is involved in the biological process described with immune response
isogroup55054_c0_g2	 Lipid transporter activity. It is involved in the biological process described with lipid transport
isogroup61162_c0_g1	UQCR11 Cytochrome b-c1 complex subunit
isogroup61169_c0_g3	 Acyltransferase C-terminus
isogroup61169_c0_g4	 Acyltransferase C-terminus
isogroup78946_c2_g2	PRPF3 PRP3 pre-mRNA processing factor 3 homolog (yeast)
isogroup78943_c0_g1	GREB1L Growth regulation by estrogen in breast
isogroup78972_c7_g1	 Belongs to the glycosyl hydrolase 18 family
isogroup61782_c0_g2	 Armadillo repeat-containing protein 6
isogroup88260_c0_g1	APOE hydroxyapatite binding
isogroup43473_c0_g2	 Inorganic anion exchanger activity. It is involved in the biological process described with anion transport
isogroup67257_c2_g1	 L1 transposable element dsRBD-like domain
isogroup67271_c0_g1	LRBA LPS-responsive vesicle trafficking, beach and anchor containing
isogroup67276_c2_g1	CLN6 lysosomal lumen acidification
isogroup52274_c0_g1	VMO1 Vitelline membrane outer layer protein I (VOMI)
isogroup16244_c0_g1	FLOT2 positive regulation of establishment of T cell polarity
isogroup77235_c1_g1	BIVM 
isogroup77220_c0_g2	IL16 Interleukin-16 stimulates a migratory response in CD4 lymphocytes, monocytes, and eosinophils. Primes CD4 T-cells for IL-2 and IL-15 responsiveness. Also induces T-lymphocyte expression of interleukin 2 receptor. Ligand for CD4
isogroup77258_c0_g1	ZGRF1 Zinc finger, GRF-type containing 1
isogroup77299_c0_g1	NUDCD2 NudC domain containing 2
isogroup73371_c0_g1	TRIM71 miRNA binding
isogroup73344_c0_g1	AEN nuclease
isogroup73333_c1_g2	CCDC171 Coiled-coil domain containing 171
isogroup73389_c0_g1	PPTC7 Protein phosphatase PTC7 homolog
isogroup73389_c0_g2	PPTC7 Protein phosphatase PTC7 homolog
isogroup73334_c0_g1	CSTA Cystatin-like domain
isogroup56528_c0_g1	crebzf bZIP transcription factor
isogroup70467_c0_g2	NME6 UTP biosynthetic process
isogroup70464_c1_g1	SPOPL MATH domain
isogroup70472_c1_g3	 aminophospholipid transmembrane transporter activity
isogroup867_c0_g1	mt:ND5 Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
isogroup72342_c0_g1	HAUS6 spindle assembly
isogroup72309_c0_g2	RPL39 structural constituent of ribosome
isogroup72378_c0_g1	Syx17 Glycosyltransferase like family
isogroup51931_c0_g1	TMEM258 Transmembrane protein 258
isogroup55716_c0_g4	C2orf42 Putative treble-clef, zinc-finger, Zn-binding
isogroup55785_c0_g1	 polycystic kidney disease protein 1-like
isogroup55721_c0_g1	TMEM43 Transmembrane protein 43
isogroup8231_c0_g1	crebzf bZIP transcription factor
isogroup40588_c0_g1	TNNT2 It is involved in the biological process described with regulation of muscle contraction
isogroup74259_c4_g1	RDM1 RAD52 motif-containing protein
isogroup74231_c3_g1	ST13 Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
isogroup74248_c7_g1	ida Anaphase-promoting complex
isogroup74207_c1_g1	KIAA0556 Domain of unknown function (DUF4457)
isogroup74218_c2_g4	 nucleic acid binding
isogroup74208_c0_g2	urad Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase
isogroup74208_c2_g3	CSTA Cystatin-like domain
isogroup74273_c11_g1	 Insect cuticle protein
isogroup48999_c0_g1	 Lipocalin / cytosolic fatty-acid binding protein family
isogroup66341_c0_g1	HHIPL2 Glucose / Sorbosone dehydrogenase
isogroup66386_c0_g1	XRCC6BP1 metalloendopeptidase activity
isogroup66399_c0_g1	RPP40 ribonuclease P
isogroup66345_c0_g2	CYP15A1 Cytochrome P450
isogroup66374_c0_g1	 Ras of Complex, Roc, domain of DAPkinase
isogroup29628_c0_g1	 Ragulator complex protein LAMTOR5
isogroup81410_c0_g1	ND5 NADH dehydrogenase (ubiquinone) activity
isogroup70113_c0_g1	TANGO6 Transport and Golgi organization
isogroup70135_c0_g1	Smim8 Small integral membrane protein
isogroup70106_c12_g1	UOX Catalyzes the oxidation of uric acid to 5- hydroxyisourate, which is further processed to form (S)-allantoin
isogroup70125_c0_g1	 Zinc ion binding
isogroup70143_c0_g1	NAT9 N-acetyltransferase 9
isogroup70150_c3_g1	 F-box-like
isogroup60250_c0_g2	PTGS2 synthase
isogroup64442_c0_g3	HERPUD2 Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2
isogroup64448_c0_g1	 Glycosyl-transferase for dystroglycan
isogroup64448_c0_g2	LARGE glycosyltransferase-like protein
isogroup17801_c0_g1	POLR3GL DNA-directed RNA polymerase III subunit RPC7-like
isogroup72610_c0_g6	 It is involved in the biological process described with transport
isogroup72694_c0_g4	POT1 positive regulation of DNA strand elongation
isogroup72679_c0_g1	PIGN Phosphatidylinositol glycan anchor biosynthesis, class N
isogroup45270_c0_g1	APLP2 Amyloid beta (A4)
isogroup76506_c0_g3	FAM173B positive regulation of sensory perception of pain
isogroup76538_c1_g1	FBXO18 response to intra-S DNA damage checkpoint signaling
isogroup76550_c0_g1	ASNS L-asparagine metabolic process
isogroup76544_c0_g1	 Cytochrome P450, family 46, subfamily A, polypeptide
isogroup78196_c1_g1	PDPR [pyruvate dehydrogenase (lipoamide)] phosphatase activity
isogroup78113_c1_g1	 Zinc ion binding
isogroup78137_c9_g1	 ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)
isogroup78162_c1_g1	omd Integrator complex subunit 5 C-terminus
isogroup78132_c2_g1	PRRC2C hematopoietic progenitor cell differentiation
isogroup53148_c0_g2	LLGL2 giant larvae
isogroup76068_c3_g1	POLR3E transcription by RNA polymerase III
isogroup76086_c0_g1	KIAA0825 protein KIAA0825 homolog
isogroup76038_c2_g1	WDR43 WD repeat-containing protein 43
isogroup64059_c0_g1	 Lactose-binding lectin l-2-like
isogroup64021_c0_g1	ADGB calcium-dependent cysteine-type endopeptidase activity
isogroup64067_c0_g2	C5orf28 Chromosome 5 open reading frame 28
isogroup74143_c2_g1	 CUE domain-containing protein
isogroup74172_c3_g2	 Belongs to the adaptor complexes medium subunit family
isogroup74174_c0_g1	 Si dkey-14d8.7
isogroup71097_c1_g2	BIN1 lipid tube assembly
isogroup71024_c0_g1	DPEP1 Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family
isogroup71024_c0_g3	 dipeptidase activity
isogroup71078_c0_g4	 Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
isogroup71078_c0_g5	 Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
isogroup71092_c0_g1	 Glycosyl hydrolase family 9
isogroup71010_c1_g3	PPRC1 nuclear receptor transcription coactivator activity
isogroup71025_c0_g1	 Protein downstream neighbor of Son
isogroup40463_c0_g1	HPN Belongs to the peptidase S1 family
isogroup40463_c0_g2	HPN Belongs to the peptidase S1 family
isogroup48436_c0_g1	TP53INP1 nuclear protein 1
isogroup30788_c0_g1	 establishment of planar polarity involved in neural tube closure
isogroup62096_c0_g1	IAH1 Isoamyl acetate-hydrolyzing esterase 1 homolog
isogroup62099_c0_g1	 Trypsin-like serine protease
isogroup57748_c0_g1	ND5 NADH dehydrogenase (ubiquinone) activity
isogroup70850_c1_g1	 Glycosyltransferase 8
isogroup70824_c0_g1	NLRP5 NACHT, LRR and PYD domains-containing protein
isogroup70836_c0_g3	SAMD15 ribosomal large subunit assembly
isogroup70891_c4_g1	Jheh2 Catalyzes juvenile hormone hydrolysis
isogroup74765_c1_g3	ZCCHC8 RNA splicing
isogroup74771_c0_g1	 Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family
isogroup74763_c0_g2	FUK L-fucose kinase
isogroup74714_c1_g3	MFSD9 major facilitator superfamily
